Date,Revenue(Millions of US $)
9/30/22,112070
6/30/22,115681
3/31/22,90500
12/31/21,84965
9/30/21,73786
6/30/21,67742
3/31/21,59147
12/31/20,46540
9/30/20,46199
6/30/20,32605
3/31/20,56158
12/31/19,67173
9/30/19,65049
6/30/19,69091
3/31/19,63625
12/31/18,71895
9/30/18,76605
6/30/18,73501
3/31/18,68211
12/31/17,66515
9/30/17,61100
6/30/17,58077
3/31/17,58671
12/31/16,43036
9/30/16,58677
6/30/16,57694
3/31/16,48707
12/31/15,40173
9/30/15,67344
6/30/15,74113
3/31/15,67618
12/31/14,87276
9/30/14,107130
6/30/14,111208
3/31/14,106325
12/31/13,110860
9/30/13,112372
6/30/13,106666
3/31/13,108357
12/31/12,114124
9/30/12,115141
6/30/12,127363
3/31/12,124053